#,anchor,url,page,rel,target
1,Версії,http://www.versii.if.ua,http://hyip.local/frankivski-studenti-vinayshli-korisnu-zhuyku-dlya-profilaktiki-parodontozu-foto/,nofollow,
2,Курс,http://kurs.if.ua/,http://hyip.local/frankivski-studenti-vinayshli-korisnu-zhuyku-dlya-profilaktiki-parodontozu-foto/,,_self
